Date,Open,High,Low,Close,Volume,Adj Close
2011-02-04,3.49,3.88,3.37,3.72,531900,3.72
2011-02-03,3.70,3.70,3.12,3.42,1049500,3.42
2011-02-02,4.42,4.46,3.69,3.72,2345100,3.72
2011-02-01,3.03,3.51,2.90,3.41,1478800,3.41
2011-01-31,2.90,3.19,2.77,3.03,405700,3.03
2011-01-28,3.03,3.03,2.65,2.94,316300,2.94
2011-01-27,3.04,3.15,2.80,2.95,461000,2.95
2011-01-26,2.65,3.20,2.60,3.14,1652100,3.14
2011-01-25,2.42,2.79,2.40,2.62,586200,2.62
2011-01-24,2.60,2.60,2.34,2.38,320000,2.38
2011-01-21,2.45,2.64,2.40,2.49,513400,2.49
2011-01-20,2.99,3.15,2.40,2.50,1837300,2.50
2011-01-19,2.30,3.47,2.30,2.94,5858900,2.94
2011-01-18,2.16,2.28,2.00,2.27,943200,2.27
2011-01-14,2.08,2.17,1.96,2.00,654600,2.00
2011-01-13,1.95,2.17,1.70,1.95,898700,1.95
2011-01-12,1.94,2.04,1.92,1.93,127700,1.93
2011-01-11,1.85,2.04,1.85,1.94,193600,1.94
2011-01-10,1.84,1.88,1.81,1.87,70100,1.87
2011-01-07,1.89,1.89,1.80,1.85,124800,1.85
2011-01-06,1.90,1.90,1.82,1.89,119700,1.89
2011-01-05,1.75,1.95,1.75,1.87,180600,1.87
2011-01-04,1.77,1.81,1.75,1.77,68300,1.77
2011-01-03,1.78,1.85,1.76,1.77,162100,1.77
2010-12-31,1.78,1.86,1.74,1.77,198400,1.77
2010-12-30,1.67,1.78,1.54,1.75,256800,1.75
2010-12-29,1.71,1.75,1.65,1.67,145400,1.67
2010-12-28,1.70,1.85,1.65,1.74,278800,1.74
2010-12-27,1.79,1.79,1.71,1.73,115600,1.73
2010-12-23,1.75,1.80,1.65,1.76,114600,1.76
2010-12-22,1.88,1.88,1.71,1.73,200600,1.73
2010-12-21,2.09,2.11,1.77,1.80,558600,1.80
2010-12-20,1.60,2.12,1.57,2.12,2380000,2.12
2010-12-17,1.42,1.45,1.41,1.45,52000,1.45
2010-12-16,1.47,1.54,1.41,1.46,59900,1.46
2010-12-15,1.51,1.55,1.45,1.49,158600,1.49
2010-12-14,1.54,1.56,1.46,1.53,101200,1.53
2010-12-13,1.65,1.67,1.54,1.54,89100,1.54
2010-12-10,1.69,1.69,1.55,1.61,171200,1.61
2010-12-09,1.61,1.74,1.61,1.64,133500,1.64
2010-12-08,1.67,1.72,1.56,1.59,261900,1.59
2010-12-07,1.90,1.90,1.62,1.70,218700,1.70
2010-12-06,1.77,1.95,1.77,1.90,138200,1.90
2010-12-03,1.93,1.94,1.72,1.77,244300,1.77
2010-12-02,1.88,2.05,1.72,1.93,508800,1.93
2010-12-01,2.10,2.55,1.86,1.88,2653300,1.88
2010-11-30,1.36,2.63,1.36,2.18,6747900,2.18
2010-11-29,1.10,1.30,1.10,1.22,92200,1.22
2010-11-26,1.09,1.12,1.09,1.10,15700,1.10
2010-11-24,1.09,1.12,1.05,1.09,61100,1.09
2010-11-23,1.07,1.09,1.03,1.05,30600,1.05
2010-11-22,1.10,1.13,1.07,1.11,24200,1.11
2010-11-19,1.06,1.10,1.05,1.08,41100,1.08
2010-11-18,1.16,1.16,1.06,1.06,32100,1.06
