Date,Open,High,Low,Close,Volume,Adj Close
2011-02-07,1.84,1.91,1.81,1.81,7600,1.81
2011-02-04,1.82,1.90,1.80,1.83,8000,1.83
2011-02-03,2.03,2.03,1.86,1.90,18100,1.90
2011-02-02,2.20,2.20,1.80,1.92,32000,1.92
2011-02-01,1.45,2.15,1.45,1.81,60000,1.81
2011-01-31,1.62,1.62,1.43,1.45,23000,1.45
2011-01-28,1.91,1.91,1.52,1.62,49500,1.62
2011-01-27,2.23,2.42,1.84,1.87,102400,1.87
2011-01-26,1.39,2.81,1.39,2.28,700000,2.28
2011-01-25,1.33,1.33,1.33,1.33,000,1.33
2011-01-24,1.30,1.33,1.30,1.33,1800,1.33
2011-01-21,1.30,1.38,1.30,1.38,1200,1.38
2011-01-20,1.39,1.39,1.39,1.39,000,1.39
2011-01-19,1.31,1.39,1.31,1.39,600,1.39
2011-01-18,1.31,1.31,1.31,1.31,000,1.31
2011-01-14,1.30,1.31,1.30,1.31,1200,1.31
2011-01-13,1.36,1.36,1.28,1.33,2600,1.33
2011-01-12,1.25,1.36,1.25,1.36,1400,1.36
2011-01-11,1.39,1.39,1.39,1.39,100,1.39
2011-01-10,1.30,1.30,1.30,1.30,000,1.30
2011-01-07,1.38,1.39,1.25,1.30,4800,1.30
2011-01-06,1.22,1.22,1.22,1.22,000,1.22
2011-01-05,1.30,1.39,1.16,1.22,17300,1.22
2011-01-04,1.20,1.20,1.20,1.20,000,1.20
2011-01-03,1.25,1.25,1.20,1.20,4500,1.20
2010-12-31,1.23,1.23,1.15,1.21,18300,1.21
2010-12-30,1.21,1.23,1.21,1.23,5500,1.23
2010-12-29,1.25,1.25,1.20,1.20,3100,1.20
2010-12-28,1.22,1.25,1.19,1.19,1100,1.19
2010-12-27,1.16,1.25,1.16,1.25,900,1.25
2010-12-23,1.16,1.16,1.16,1.16,1300,1.16
2010-12-22,1.32,1.40,1.15,1.15,15700,1.15
2010-12-21,1.35,1.35,1.19,1.19,3300,1.19
2010-12-20,1.20,1.25,1.18,1.23,4700,1.23
2010-12-17,1.20,1.20,1.20,1.20,2300,1.20
2010-12-16,1.20,1.20,1.20,1.20,900,1.20
2010-12-15,1.22,1.22,1.22,1.22,000,1.22
2010-12-14,1.22,1.22,1.22,1.22,000,1.22
2010-12-13,1.21,1.22,1.21,1.22,2000,1.22
2010-12-10,1.18,1.20,1.10,1.14,10400,1.14
2010-12-09,1.24,1.29,1.24,1.25,2400,1.25
2010-12-08,1.11,1.24,1.10,1.24,3500,1.24
2010-12-07,1.33,1.34,1.13,1.18,4200,1.18
2010-12-06,1.15,1.23,1.05,1.15,7200,1.15
2010-12-03,1.15,1.15,1.15,1.15,1000,1.15
2010-12-02,1.17,1.24,1.16,1.17,12800,1.17
2010-12-01,1.23,1.24,1.13,1.13,11800,1.13
