Date,Open,High,Low,Close,Volume,Adj Close
2009-01-21,2774.67,2886.11,2743.43,2857.44,6467830000,2857.44
2009-01-20,2895.18,2908.71,2764.46,2775.04,6375230000,2775.04
2009-01-16,2876.35,2953.16,2827.58,2895.41,6786040000,2895.41
2009-01-15,2856.40,2913.36,2769.06,2856.40,7807350400,2856.40
2009-01-14,2947.65,2947.65,2811.83,2856.88,5407880000,2856.88
2009-01-13,2975.87,3012.35,2903.28,2948.09,5017470000,2948.09
2009-01-12,3035.27,3055.11,2946.47,2976.17,4725050000,2976.17
2009-01-09,3090.56,3115.17,3008.92,3035.24,4716500000,3035.24
2009-01-08,3095.39,3119.77,3033.98,3090.56,4991550000,3090.56
2009-01-07,3188.61,3188.61,3066.82,3095.58,4704940000,3095.58
2009-01-06,3160.24,3246.14,3134.33,3190.11,5392620000,3190.11
2009-01-05,3174.23,3206.71,3106.86,3159.44,5413910000,3159.44
2009-01-02,3085.35,3192.72,3066.27,3174.63,4048270000,3174.63
2008-12-31,3029.38,3115.05,3018.47,3086.07,4172940000,3086.07
2008-12-30,2961.05,3040.65,2948.57,3029.42,3627800000,3029.42
2008-12-29,2976.02,2992.79,2910.73,2961.00,3323430000,2961.00
2008-12-26,2958.42,2998.85,2941.45,2977.36,1880050000,2977.36
2008-12-24,2939.91,2965.23,2937.14,2958.57,1546550000,2958.57
2008-12-23,2974.44,3013.85,2911.96,2937.57,4051970000,2937.57
2008-12-22,3000.65,3036.09,2917.89,2974.62,4869850000,2974.62
2008-12-19,3006.37,3085.11,2972.09,3001.64,6705310000,3001.64
2008-12-18,3059.52,3118.99,2964.50,3006.11,5675000000,3006.11
2008-12-17,3070.53,3122.62,2992.07,3060.53,5907380000,3060.53
2008-12-16,2942.99,3091.57,2935.26,3072.59,6009780000,3072.59
2008-12-15,2974.27,3015.00,2896.52,2942.80,4982390000,2942.80
2008-12-12,2960.10,3008.52,2852.37,2974.42,5959590000,2974.42
2008-12-11,3047.92,3087.73,2931.46,2961.02,5513840000,2961.02
2008-12-10,3009.97,3105.80,2976.85,3050.24,5942130000,3050.24
2008-12-09,3116.25,3116.25,2968.55,3010.53,5693110000,3010.53
2008-12-08,3017.80,3185.40,3017.80,3117.16,6553600000,3117.16
2008-12-05,2941.86,3041.62,2811.32,3018.25,6165370000,3018.25
2008-12-04,3018.22,3070.95,2884.15,2941.89,5860390000,2941.89
2008-12-03,2953.05,3040.40,2864.65,3019.71,6221880000,3019.71
2008-12-02,2866.16,2982.29,2832.65,2955.09,6170100000,2955.09
2008-12-01,3108.08,3108.08,2857.39,2865.68,6052010000,2865.68
2008-11-28,3063.14,3102.16,3053.42,3108.08,2740860000,3108.08
2008-11-26,2997.16,3097.05,2914.28,3077.93,5793260000,3077.93
2008-11-25,2964.74,3069.09,2907.60,3000.59,6952700000,3000.59
2008-11-24,2843.87,3029.41,2818.06,2965.00,7879440000,2965.00
2008-11-21,2669.05,2867.78,2607.77,2842.46,9495900000,2842.46
2008-11-20,2817.33,2895.37,2624.91,2669.51,9093740000,2669.51
2008-11-19,2984.87,3026.53,2803.82,2817.64,6548600000,2817.64
2008-11-18,2960.54,3047.45,2877.63,2985.43,6069470000,2985.43
2008-11-17,3018.61,3073.00,2915.89,2960.95,4927490000,2960.95
2008-11-14,3151.17,3187.46,2984.41,3019.09,5881030000,3019.09
2008-11-13,2954.47,3168.43,2839.21,3152.85,7849120000,3152.85
2008-11-12,3084.56,3084.56,2928.89,2955.04,5764180000,2955.04
2008-11-11,3130.56,3161.16,3001.59,3086.11,4998340000,3086.11
2008-11-10,3158.41,3250.02,3080.11,3131.02,4572000000,3131.02
2008-11-07,3068.57,3192.11,3048.37,3157.77,4931640000,3157.77
2008-11-06,3223.21,3252.24,3035.58,3069.15,6102230000,3069.15
2008-11-05,3402.70,3411.75,3205.51,3224.58,5426640000,3224.58
2008-11-04,3294.46,3452.02,3294.46,3407.33,5531290000,3407.33
2008-11-03,3286.66,3360.44,3231.76,3294.82,4492280000,3294.82
2008-10-31,3233.69,3337.66,3202.71,3286.26,6394350000,3286.26
2008-10-30,3137.68,3297.77,3128.50,3229.90,6175830000,3229.90
2008-10-29,3159.06,3298.64,3063.18,3135.95,7077800000,3135.95
2008-10-28,2887.70,3172.50,2853.19,3159.19,7096950400,3159.19
2008-10-27,2964.35,3050.20,2853.70,2885.89,5558050000,2885.89
2008-10-24,3069.90,3069.90,2843.08,2964.87,6550050000,2964.87
2008-10-23,3019.94,3157.30,2894.97,3070.27,7184180000,3070.27
2008-10-22,3190.32,3190.32,2933.16,3020.30,6147980000,3020.30
2008-10-21,3236.01,3282.44,3184.19,3193.92,5121830000,3193.92
2008-10-20,3113.55,3296.41,3091.69,3277.53,5175640000,3277.53
2008-10-17,3153.05,3278.97,3025.73,3112.99,6581780000,3112.99
2008-10-16,3019.85,3188.81,2880.47,3154.71,7984500000,3154.71
2008-10-15,3294.48,3294.48,2996.16,3020.86,6542330000,3020.86
2008-10-14,3325.88,3512.98,3191.62,3295.28,8161990400,3295.28
2008-10-13,3008.44,3363.30,3008.44,3325.67,7263369600,3325.67
2008-10-10,3040.37,3170.35,2724.60,3006.51,11456230400,3006.51
2008-10-09,3260.82,3363.46,3015.74,3042.20,8285670400,3042.20
2008-10-08,3306.64,3426.28,3155.75,3260.86,8716329600,3260.86
2008-10-07,3470.69,3559.39,3288.48,3307.85,7069209600,3307.85
2008-10-06,3580.49,3584.10,3284.12,3470.70,7956020000,3470.70
2008-10-03,3627.39,3769.47,3553.49,3581.82,6716120000,3581.82
2008-10-02,3815.57,3815.57,3584.51,3626.80,6285640000,3626.80
2008-10-01,3828.48,3883.98,3706.53,3816.58,5782130000,3816.58
2008-09-30,3710.86,3872.77,3706.12,3829.04,6065000000,3829.04
2008-09-29,3942.86,3942.86,3649.28,3707.38,7305060000,3707.38
2008-09-26,3930.03,3977.54,3831.47,3943.74,5383610000,3943.74
2008-09-25,3864.90,3995.70,3854.40,3932.89,5877640000,3932.89
2008-09-24,3888.58,3941.23,3811.13,3864.55,4820360000,3864.55
2008-09-23,3938.78,4020.33,3857.43,3888.58,5185730000,3888.58
2008-09-22,4089.46,4102.87,3915.46,3938.87,5368130000,3938.87
2008-09-19,3991.12,4183.58,3985.35,4090.20,9387169600,4090.20
2008-09-18,3844.02,4038.68,3759.60,3989.07,10082689600,3989.07
2008-09-17,4006.50,4006.50,3796.73,3843.83,9431870400,3843.83
2008-09-16,3959.86,4052.22,3839.17,4008.23,9459830400,4008.23
2008-09-15,4098.81,4105.66,3918.98,3960.61,8279510400,3960.61
2008-09-12,4094.01,4138.01,4013.15,4101.70,6273260000,4101.70
2008-09-11,4011.06,4106.95,3932.35,4094.76,6869249600,4094.76
2008-09-10,3961.07,4070.97,3935.89,4012.20,6543440000,4012.20
2008-09-09,4084.86,4123.65,3948.45,3960.53,7380630400,3960.53
2008-09-08,4000.34,4152.23,3994.52,4085.18,7351340000,4085.18
2008-09-05,4015.25,4039.72,3914.17,3999.39,5017080000,3999.39
2008-09-04,4120.87,4125.91,3987.31,4015.82,5212500000,4015.82
2008-09-03,4137.08,4182.53,4064.99,4121.77,5056980000,4121.77
2008-09-02,4163.48,4272.54,4112.82,4139.25,4783560000,4139.25
2008-08-29,4215.81,4230.28,4143.23,4162.03,3288120000,4162.03
2008-08-28,4139.88,4233.15,4137.50,4215.97,3854280000,4215.97
2008-08-27,4103.69,4165.90,4079.20,4140.18,3499610000,4140.18
2008-08-26,4091.62,4130.50,4051.32,4105.61,3587570000,4105.61
2008-08-25,4167.62,4167.62,4063.77,4092.09,3420600000,4092.09
2008-08-22,4100.11,4192.52,4099.99,4168.17,3741070000,4168.17
2008-08-21,4090.99,4128.10,4027.17,4100.34,4032590000,4100.34
2008-08-20,4083.06,4138.61,4031.42,4091.92,4555030000,4091.92
2008-08-19,4134.06,4146.46,4051.73,4084.75,4159760000,4084.75
2008-08-18,4178.20,4216.03,4105.66,4134.21,3829290000,4134.21
2008-08-15,4164.18,4222.55,4136.43,4177.69,4041820000,4177.69
2008-08-14,4137.35,4208.43,4086.62,4164.83,4064000000,4164.83
2008-08-13,4148.04,4184.52,4055.52,4138.19,4787600000,4138.19
2008-08-12,4223.54,4238.73,4111.61,4150.95,4711290000,4150.95
2008-08-11,4212.36,4294.86,4143.96,4223.83,5067310000,4223.83
2008-08-08,4096.38,4245.52,4074.00,4214.00,4966810000,4214.00
2008-08-07,4165.58,4189.40,4059.53,4096.45,5319380000,4096.45
2008-08-06,4169.17,4211.85,4099.95,4166.43,4873420000,4166.43
2008-08-05,4039.18,4188.75,4039.18,4172.00,1219310000,4172.00
2008-08-04,4070.12,4119.53,3991.84,4040.06,4562280000,4040.06
2008-08-01,4137.97,4182.05,4030.75,4069.79,4684870000,4069.79
2008-07-31,4184.18,4220.85,4106.58,4138.05,5346050000,4138.05
2008-07-30,4143.13,4242.15,4092.68,4185.65,5631330000,4185.65
2008-07-29,4035.00,4159.91,4021.36,4143.59,5414240000,4143.59
2008-07-28,4096.29,4130.94,4012.75,4034.59,4282960000,4034.59
2008-07-25,4096.59,4164.43,4051.32,4096.83,4672560000,4096.83
2008-07-24,4200.48,4230.92,4060.77,4095.83,6127980000,4095.83
2008-07-23,4221.17,4286.53,4118.16,4200.83,6705830000,4200.83
2008-07-22,4145.00,4259.38,4090.75,4221.02,6180230000,4221.02
2008-07-21,4154.99,4207.69,4094.72,4145.42,4630640000,4145.42
2008-07-18,4131.83,4200.41,4077.89,4154.67,5653280000,4154.67
2008-07-17,4093.21,4176.58,4024.18,4131.83,7365209600,4131.83
2008-07-16,3995.71,4134.53,3949.69,4093.93,6738630400,4093.93
2008-07-15,4036.69,4077.51,3917.31,3995.82,7363640000,3995.82
2008-07-14,4069.25,4143.95,4008.62,4037.30,5434860000,4037.30
2008-07-11,4105.51,4139.83,3993.92,4068.26,6742200000,4068.26
2008-07-10,4083.99,4152.85,4037.88,4106.23,5840430000,4106.23
2008-07-09,4147.48,4198.93,4058.35,4084.01,5181000000,4084.01
2008-07-08,4053.27,4174.37,4019.45,4047.80,6034110000,4047.80
2008-07-07,4069.77,4150.65,4004.70,4054.63,5265420000,4054.63
2008-07-03,4070.26,4086.31,4029.98,4057.88,3247590000,4057.88
2008-07-02,4146.75,4191.01,4044.54,4055.71,5276090000,4055.71
2008-07-01,4160.92,4180.99,4045.35,4146.78,5846290000,4146.78
2008-06-30,4127.00,4213.42,4085.46,4161.96,5032330000,4161.96
2008-06-27,4147.57,4193.38,4083.22,4127.00,6208260000,4127.00
2008-06-26,4273.15,4273.15,4137.13,4146.93,5231280000,4146.93
2008-06-25,4256.63,4338.29,4225.93,4274.32,4825640000,4274.32
2008-06-24,4289.77,4321.50,4211.45,4255.73,4705050000,4255.73
2008-06-23,4308.59,4363.07,4258.70,4289.77,4186370000,4289.77
2008-06-20,4386.06,4389.93,4282.05,4308.59,5324900000,4308.59
2008-06-19,4324.63,4420.20,4292.10,4386.49,4811670000,4386.49
2008-06-18,4347.46,4386.16,4276.15,4325.74,4573570000,4325.74
2008-06-17,4379.73,4428.83,4326.02,4347.56,3801960000,4347.56
2008-06-16,4383.47,4414.23,4321.10,4379.57,3706940000,4379.57
2008-06-13,4323.12,4417.72,4310.48,4384.54,4080420000,4384.54
2008-06-12,4302.29,4393.97,4285.13,4322.91,4734240000,4322.91
2008-06-11,4409.11,4412.54,4283.49,4301.49,4779980000,4301.49
2008-06-10,4416.99,4454.97,4345.53,4410.61,4635070000,4410.61
2008-06-09,4373.69,4453.53,4348.35,4417.35,4404570000,4417.35
2008-06-06,4527.17,4527.17,4364.64,4373.33,4771660000,4373.33
2008-06-05,4452.77,4542.03,4435.24,4528.24,4350790000,4528.24
2008-06-04,4435.24,4501.02,4398.20,4453.67,4338640000,4453.67
2008-06-03,4464.95,4517.33,4401.80,4438.34,4396380000,4438.34
2008-06-02,4514.33,4518.44,4424.39,4465.16,3714320000,4465.16
2008-05-30,4509.74,4556.24,4472.54,4514.44,3845630000,4514.44
2008-05-29,4468.52,4545.46,4436.60,4509.55,3894440000,4509.55
2008-05-28,4443.16,4503.30,4413.34,4468.72,3927240000,4468.72
2008-05-27,4394.99,4467.03,4374.69,4443.83,3588860000,4443.83
2008-05-23,4463.59,4464.53,4369.13,4394.99,3516380000,4394.99
2008-05-22,4456.79,4512.18,4418.75,4464.54,3955960000,4464.54
2008-05-21,4527.06,4580.65,4436.44,4457.37,4517990000,4457.37
2008-05-20,4568.62,4583.12,4489.15,4527.70,3854320000,4527.70
2008-05-19,4545.39,4640.71,4521.04,4569.16,3683970000,4569.16
2008-05-16,4549.94,4585.38,4496.57,4544.59,3842590000,4544.59
2008-05-15,4518.29,4564.80,4477.54,4549.60,3836480000,4549.60
2008-05-14,4485.62,4568.20,4478.48,4520.69,3979370000,4520.69
2008-05-13,4489.85,4531.18,4440.15,4486.85,4018590000,4486.85
2008-05-12,4438.50,4487.06,4425.19,4486.60,3370630000,4486.60
2008-05-09,4470.59,4478.11,4394.94,4443.28,3518620000,4443.28
