Date,Open,High,Low,Close,Volume,Adj Close
2011-02-07,1.62,1.69,1.49,1.50,55800,1.50
2011-02-04,1.31,1.63,1.27,1.62,103500,1.62
2011-02-03,1.31,1.31,1.25,1.26,10000,1.26
2011-02-02,1.28,1.33,1.25,1.30,40900,1.30
2011-02-01,1.18,1.23,1.17,1.23,15200,1.23
2011-01-31,1.14,1.19,1.14,1.19,5900,1.19
2011-01-28,1.16,1.17,1.16,1.16,8900,1.16
2011-01-27,1.10,1.19,1.10,1.18,15300,1.18
2011-01-26,1.12,1.19,1.12,1.13,5200,1.13
2011-01-25,1.11,1.13,1.09,1.11,9300,1.11
2011-01-24,1.17,1.17,1.11,1.12,4500,1.12
2011-01-21,1.16,1.23,1.11,1.14,15600,1.14
2011-01-20,1.21,1.21,1.11,1.11,16200,1.11
2011-01-19,1.13,1.14,1.11,1.14,11800,1.14
2011-01-18,1.25,1.25,1.11,1.17,43700,1.17
2011-01-14,1.11,1.22,1.11,1.21,29800,1.21
2011-01-13,1.10,1.15,1.10,1.15,18200,1.15
2011-01-12,1.13,1.15,1.10,1.11,20100,1.11
2011-01-11,1.18,1.18,1.06,1.13,36700,1.13
2011-01-10,1.24,1.33,1.19,1.19,70100,1.19
2011-01-07,1.38,1.46,1.17,1.31,84400,1.31
2011-01-06,1.09,1.83,1.08,1.38,267600,1.38
2011-01-05,1.09,1.09,1.08,1.08,3000,1.08
2011-01-04,1.14,1.14,1.08,1.08,27300,1.08
2011-01-03,1.05,1.14,1.03,1.14,36200,1.14
2010-12-31,1.15,1.15,1.04,1.05,24800,1.05
2010-12-30,1.05,1.12,1.00,1.11,82400,1.11
2010-12-29,0.90,1.09,0.90,1.03,369300,1.03
2010-12-28,1.03,1.03,0.91,0.91,63200,0.91
2010-12-27,1.01,1.09,1.01,1.02,17500,1.02
2010-12-23,0.99,1.25,0.98,1.01,216600,1.01
2010-12-22,0.89,1.04,0.87,0.96,154000,0.96
2010-12-21,0.84,0.91,0.81,0.89,146900,0.89
2010-12-20,0.76,0.83,0.75,0.83,118800,0.83
2010-12-17,0.74,0.75,0.73,0.75,14800,0.75
2010-12-16,0.71,0.76,0.71,0.74,85200,0.74
2010-12-15,0.73,0.76,0.70,0.74,299700,0.74
2010-12-14,0.72,0.76,0.72,0.74,421400,0.74
2010-12-13,0.77,0.77,0.72,0.74,389200,0.74
2010-12-10,0.74,0.85,0.74,0.75,142900,0.75
2010-12-09,0.74,0.78,0.70,0.73,16100,0.73
