Date,Open,High,Low,Close,Volume,Adj Close
2011-02-07,14.67,15.94,12.06,13.14,14400500,13.14
2011-02-04,11.41,14.43,11.15,13.89,13768300,13.89
2011-02-03,17.01,17.32,10.31,11.09,21320300,11.09
2011-02-02,16.79,17.48,16.15,16.61,3694200,16.61
2011-02-01,17.40,17.75,16.25,16.66,7614300,16.66
2011-01-31,20.97,21.02,17.77,17.84,7345200,17.84
2011-01-28,23.06,23.97,20.52,20.86,6000000,20.86
2011-01-27,20.49,23.15,20.43,22.81,5542200,22.81
2011-01-26,19.03,19.77,18.94,19.56,788700,19.56
2011-01-25,18.96,19.67,18.81,19.00,1031200,19.00
2011-01-24,19.99,19.99,18.75,19.16,1295300,19.16
2011-01-21,19.94,20.17,19.52,19.65,979800,19.65
2011-01-20,20.17,20.30,19.52,19.65,1288100,19.65
2011-01-19,20.00,21.24,19.93,20.18,2426200,20.18
2011-01-18,19.93,19.99,18.80,19.62,1401600,19.62
2011-01-14,21.15,21.40,19.50,19.63,2602200,19.63
2011-01-13,18.70,20.85,18.45,20.65,5122100,20.65
2011-01-12,17.85,18.58,17.31,18.45,2510500,18.45
2011-01-11,17.29,17.50,17.05,17.23,1083500,17.23
2011-01-10,18.00,18.09,17.01,17.17,2141000,17.17
2011-01-07,16.73,17.53,16.51,17.48,2349600,17.48
2011-01-06,16.59,16.59,16.05,16.33,1080600,16.33
2011-01-05,16.80,16.87,16.21,16.62,653900,16.62
2011-01-04,16.70,17.50,16.51,16.83,2336500,16.83
2011-01-03,16.03,16.49,15.95,16.40,1002300,16.40
2010-12-31,15.75,15.99,15.60,15.84,375400,15.84
2010-12-30,15.70,15.89,15.62,15.75,306000,15.75
2010-12-29,15.81,15.86,15.60,15.71,286600,15.71
2010-12-28,15.70,16.06,15.66,15.76,901300,15.76
2010-12-27,15.67,15.96,15.46,15.63,409800,15.63
2010-12-23,15.79,15.85,15.45,15.75,552100,15.75
2010-12-22,15.95,16.02,15.71,15.89,494100,15.89
2010-12-21,16.46,16.54,15.85,15.93,1354100,15.93
2010-12-20,16.57,16.95,16.25,16.34,1522400,16.34
2010-12-17,16.03,16.72,15.56,16.32,1649000,16.32
2010-12-16,17.05,17.12,15.42,15.73,2611100,15.73
2010-12-15,15.97,16.10,15.20,15.35,664900,15.35
2010-12-14,16.88,16.89,15.60,15.76,1071800,15.76
2010-12-13,16.11,17.00,15.96,16.66,1706900,16.66
2010-12-10,14.92,15.86,14.18,15.52,1634000,15.52
2010-12-09,15.01,15.77,14.85,14.98,661000,14.98
2010-12-08,15.76,15.99,14.97,15.07,697800,15.07
2010-12-07,16.99,16.99,15.51,15.73,1030100,15.73
2010-12-06,15.38,16.74,15.27,16.51,1543600,16.51
2010-12-03,15.65,15.75,14.70,14.80,1408200,14.80
2010-12-02,16.08,16.30,15.66,15.87,700300,15.87
2010-12-01,17.25,17.30,15.75,16.02,1264400,16.02
2010-11-30,17.16,17.60,16.76,16.87,644300,16.87
2010-11-29,17.50,17.54,17.10,17.42,545700,17.42
2010-11-26,17.10,17.74,16.82,17.57,466800,17.57
2010-11-24,16.85,17.45,16.70,17.15,526800,17.15
2010-11-23,17.35,18.10,16.50,16.62,1393100,16.62
2010-11-22,16.63,17.00,16.55,16.87,691400,16.87
2010-11-19,17.29,17.41,16.45,16.50,870600,16.50
2010-11-18,18.44,18.58,17.46,17.52,828700,17.52
2010-11-17,15.88,17.93,15.80,17.56,1523600,17.56
2010-11-16,16.54,16.80,15.64,15.93,1784100,15.93
2010-11-15,18.22,18.95,16.97,17.00,1413000,17.00
2010-11-12,18.70,19.30,17.91,18.22,840100,18.22
2010-11-11,18.84,20.00,18.19,19.50,835900,19.50
2010-11-10,20.07,20.17,17.48,19.47,2191300,19.47
2010-11-09,20.48,21.09,19.87,20.18,1367400,20.18
2010-11-08,22.28,22.30,19.85,21.25,4231000,21.25
2010-11-05,19.74,19.96,19.01,19.61,1714700,19.61
2010-11-04,19.22,20.10,18.77,19.54,2144600,19.54
2010-11-03,16.77,18.98,16.71,18.72,2000600,18.72
2010-11-02,16.73,16.90,16.27,16.71,860900,16.71
2010-11-01,15.94,17.20,15.85,16.47,1581200,16.47
2010-10-29,15.35,15.85,15.05,15.46,639300,15.46
2010-10-28,15.74,15.75,14.77,15.38,580000,15.38
2010-10-27,14.89,15.62,14.64,15.45,714200,15.45
2010-10-26,14.44,15.48,14.16,14.97,738600,14.97
2010-10-25,14.37,14.85,14.06,14.48,505600,14.48
2010-10-22,15.09,15.22,13.71,14.20,1398700,14.20
2010-10-21,15.15,15.75,14.81,15.15,709300,15.15
2010-10-20,14.28,15.45,14.22,15.17,943000,15.17
2010-10-19,14.99,14.99,13.65,14.28,1756500,14.28
2010-10-18,15.94,16.44,14.83,15.02,2125500,15.02
2010-10-15,14.50,16.60,14.40,16.20,3261300,16.20
2010-10-14,13.47,14.24,13.34,14.02,1499000,14.02
2010-10-13,12.50,13.59,11.28,13.27,1862800,13.27
2010-10-12,11.30,12.29,11.25,12.27,1097000,12.27
2010-10-11,10.75,11.60,10.75,11.28,702000,11.28
2010-10-08,10.61,10.95,10.32,10.75,507100,10.75
2010-10-07,10.10,10.78,9.72,10.63,614400,10.63
2010-10-06,9.94,10.15,9.55,10.04,756900,10.04
2010-10-05,9.75,10.03,9.71,9.98,512700,9.98
2010-10-04,10.08,10.10,9.55,9.71,519900,9.71
2010-10-01,10.39,10.55,9.90,10.03,676500,10.03
2010-09-30,10.12,10.59,9.81,10.20,833000,10.20
2010-09-29,9.63,10.30,9.54,10.06,1046200,10.06
