Date,Open,High,Low,Close,Volume,Adj Close
2011-02-07,3.87,4.30,3.83,4.16,3984200,4.16
2011-02-04,2.95,4.23,2.60,3.68,15593300,3.68
2011-02-03,1.54,1.57,1.50,1.53,110700,1.53
2011-02-02,1.52,1.59,1.51,1.55,149900,1.55
2011-02-01,1.51,1.59,1.50,1.51,225400,1.51
2011-01-31,1.55,1.61,1.50,1.61,188600,1.61
2011-01-28,1.71,1.71,1.50,1.53,368400,1.53
2011-01-27,1.55,1.69,1.50,1.64,602700,1.64
2011-01-26,1.24,1.50,1.22,1.50,766700,1.50
2011-01-25,1.51,1.56,1.13,1.27,1162600,1.27
2011-01-24,1.56,1.59,1.53,1.53,462500,1.53
2011-01-21,1.71,1.74,1.58,1.60,215800,1.60
2011-01-20,1.63,1.73,1.61,1.63,357100,1.63
2011-01-19,1.67,1.67,1.59,1.65,456500,1.65
2011-01-18,1.74,1.75,1.60,1.68,512900,1.68
2011-01-14,1.74,1.74,1.62,1.69,1133100,1.69
2011-01-13,1.91,1.91,1.69,1.75,1324200,1.75
2011-01-12,1.90,2.04,1.62,1.83,2780700,1.83
2011-01-11,2.16,2.32,2.15,2.28,609000,2.28
2011-01-10,2.15,2.25,2.15,2.15,632300,2.15
2011-01-07,2.50,2.52,2.00,2.15,1491800,2.15
2011-01-06,2.59,2.70,2.51,2.52,256100,2.52
2011-01-05,2.55,2.59,2.48,2.58,339700,2.58
2011-01-04,2.60,2.68,2.51,2.57,367600,2.57
2011-01-03,2.58,2.66,2.51,2.60,232600,2.60
2010-12-31,2.48,2.61,2.48,2.55,159600,2.55
2010-12-30,2.50,2.56,2.47,2.50,139900,2.50
2010-12-29,2.59,2.59,2.50,2.52,216400,2.52
2010-12-28,2.70,2.70,2.59,2.60,153300,2.60
2010-12-27,2.57,2.69,2.55,2.66,122300,2.66
2010-12-23,2.64,2.65,2.57,2.62,111700,2.62
2010-12-22,2.55,2.65,2.52,2.65,119400,2.65
2010-12-21,2.54,2.61,2.47,2.51,164100,2.51
2010-12-20,2.69,2.69,2.51,2.52,186600,2.52
2010-12-17,2.45,2.70,2.39,2.70,163000,2.70
2010-12-16,2.40,2.48,2.36,2.47,161800,2.47
2010-12-15,2.44,2.44,2.35,2.41,83900,2.41
2010-12-14,2.37,2.44,2.37,2.41,103400,2.41
2010-12-13,2.42,2.42,2.32,2.38,144200,2.38
2010-12-10,2.43,2.44,2.37,2.42,126200,2.42
2010-12-09,2.50,2.51,2.44,2.44,102100,2.44
2010-12-08,2.44,2.50,2.43,2.46,67200,2.46
2010-12-07,2.48,2.50,2.44,2.44,124300,2.44
2010-12-06,2.55,2.55,2.43,2.48,206100,2.48
2010-12-03,2.58,2.58,2.46,2.47,257300,2.47
2010-12-02,2.49,2.62,2.43,2.58,436600,2.58
2010-12-01,2.38,2.51,2.38,2.47,367500,2.47
2010-11-30,2.38,2.45,2.29,2.40,250000,2.40
2010-11-29,2.35,2.40,2.26,2.36,314600,2.36
2010-11-26,2.41,2.47,2.35,2.35,102800,2.35
2010-11-24,2.40,2.49,2.40,2.44,199600,2.44
2010-11-23,2.34,2.43,2.29,2.40,172600,2.40
2010-11-22,2.40,2.41,2.30,2.39,223000,2.39
2010-11-19,2.44,2.51,2.33,2.40,396600,2.40
2010-11-18,2.50,2.54,2.45,2.50,438600,2.50
2010-11-17,2.13,2.50,2.11,2.42,1168800,2.42
2010-11-16,2.08,2.25,1.93,2.11,1166000,2.11
2010-11-15,2.24,2.24,2.08,2.11,461400,2.11
2010-11-12,2.34,2.37,2.16,2.24,452900,2.24
2010-11-11,2.42,2.42,2.33,2.37,113500,2.37
2010-11-10,2.44,2.49,2.39,2.44,155100,2.44
2010-11-09,2.35,2.49,2.31,2.42,284700,2.42
2010-11-08,2.30,2.35,2.25,2.33,202100,2.33
2010-11-05,2.34,2.35,2.30,2.32,199300,2.32
2010-11-04,2.30,2.37,2.30,2.35,170600,2.35
2010-11-03,2.24,2.30,2.24,2.25,124400,2.25
2010-11-02,2.36,2.36,2.23,2.26,260300,2.26
2010-11-01,2.40,2.40,2.18,2.36,342800,2.36
2010-10-29,2.43,2.43,2.26,2.33,311500,2.33
2010-10-28,2.58,2.61,2.25,2.45,716100,2.45
2010-10-27,2.64,2.69,2.55,2.57,129300,2.57
2010-10-26,2.62,2.65,2.56,2.62,106900,2.62
2010-10-25,2.50,2.75,2.50,2.62,268000,2.62
2010-10-22,2.51,2.57,2.44,2.55,135900,2.55
2010-10-21,2.66,2.67,2.45,2.51,437400,2.51
2010-10-20,2.74,2.74,2.60,2.68,270100,2.68
2010-10-19,2.75,2.82,2.70,2.70,401700,2.70
2010-10-18,2.85,2.88,2.75,2.76,231300,2.76
2010-10-15,2.93,2.93,2.80,2.85,285000,2.85
2010-10-14,2.95,2.95,2.80,2.85,221500,2.85
2010-10-13,2.79,2.95,2.76,2.89,730700,2.89
2010-10-12,2.72,2.76,2.65,2.74,358100,2.74
2010-10-11,2.63,2.74,2.56,2.67,466100,2.67
2010-10-08,2.51,2.57,2.49,2.56,213100,2.56
2010-10-07,2.54,2.55,2.42,2.49,162400,2.49
2010-10-06,2.55,2.60,2.50,2.54,271700,2.54
2010-10-05,2.49,2.57,2.35,2.55,539400,2.55
2010-10-04,2.36,2.48,2.24,2.48,226200,2.48
2010-10-01,2.34,2.39,2.30,2.38,164300,2.38
2010-09-30,2.37,2.39,2.28,2.34,177900,2.34
2010-09-29,2.39,2.39,2.21,2.28,412300,2.28
2010-09-28,2.09,2.49,2.05,2.40,1291200,2.40
2010-09-27,2.10,2.10,2.00,2.06,284700,2.06
2010-09-24,1.95,2.15,1.95,2.04,535200,2.04
2010-09-23,2.10,2.17,1.85,1.94,1026600,1.94
2010-09-22,2.27,2.28,2.11,2.11,287300,2.11
2010-09-21,2.30,2.34,2.18,2.24,408300,2.24
2010-09-20,2.30,2.48,2.26,2.31,487400,2.31
2010-09-17,2.20,2.38,2.20,2.30,505700,2.30
2010-09-16,2.32,2.40,2.15,2.15,663000,2.15
2010-09-15,2.50,2.50,2.33,2.35,453800,2.35
2010-09-14,2.41,2.59,2.30,2.49,1263000,2.49
2010-09-13,2.89,2.95,2.17,2.39,3475700,2.39
2010-09-10,2.45,3.26,2.42,2.94,8740800,2.94
2010-09-09,1.66,1.80,1.66,1.69,440300,1.69
2010-09-08,1.64,1.69,1.62,1.65,176800,1.65
2010-09-07,1.93,1.93,1.47,1.62,791000,1.62
2010-09-03,1.64,1.80,1.59,1.80,753600,1.80
2010-09-02,1.60,1.65,1.52,1.59,304300,1.59
2010-09-01,1.50,1.55,1.45,1.52,149100,1.52
2010-08-31,1.41,1.47,1.39,1.47,115100,1.47
2010-08-30,1.46,1.54,1.39,1.40,111100,1.40
2010-08-27,1.46,1.47,1.39,1.39,113100,1.39
2010-08-26,1.41,1.49,1.39,1.45,81900,1.45
2010-08-25,1.35,1.43,1.35,1.42,200900,1.42
2010-08-24,1.49,1.49,1.29,1.42,299000,1.42
2010-08-23,1.47,1.65,1.45,1.46,290400,1.46
2010-08-20,1.62,1.64,1.55,1.59,311500,1.59
2010-08-19,1.45,1.65,1.43,1.63,851400,1.63
2010-08-18,1.40,1.45,1.36,1.45,347400,1.45
2010-08-17,1.40,1.40,1.30,1.35,138400,1.35
2010-08-16,1.31,1.37,1.29,1.30,127500,1.30
2010-08-13,1.35,1.36,1.29,1.30,285100,1.30
2010-08-12,1.37,1.39,1.28,1.30,269300,1.30
2010-08-11,1.36,1.36,1.27,1.34,295900,1.34
2010-08-10,1.48,1.48,1.26,1.40,578000,1.40
2010-08-09,1.30,1.48,1.30,1.46,524300,1.46
2010-08-06,1.18,1.29,1.15,1.29,242400,1.29
2010-08-05,1.23,1.25,1.18,1.18,58000,1.18
2010-08-04,1.12,1.25,1.12,1.23,522100,1.23
2010-08-03,1.06,1.14,1.06,1.14,240600,1.14
2010-08-02,1.12,1.15,1.09,1.09,302300,1.09
2010-07-30,1.13,1.13,1.01,1.07,435400,1.07
2010-07-29,1.17,1.25,1.11,1.14,291400,1.14
2010-07-28,1.26,1.32,1.10,1.18,474200,1.18
2010-07-27,1.15,1.30,1.11,1.21,636300,1.21
2010-07-26,1.12,1.18,1.09,1.13,352000,1.13
2010-07-23,1.10,1.19,1.10,1.17,275800,1.17
2010-07-22,1.10,1.18,1.07,1.10,255500,1.10
2010-07-21,1.07,1.26,1.01,1.05,704800,1.05
2010-07-20,1.13,1.13,1.03,1.08,669300,1.08
2010-07-19,1.41,1.43,1.06,1.15,724700,1.15
2010-07-16,1.48,1.48,1.22,1.28,1564600,1.28
2010-07-15,1.19,1.64,1.17,1.41,3813200,1.41
2010-07-14,0.73,1.45,0.70,1.08,3881600,1.08
2010-07-13,0.64,0.73,0.64,0.70,1554700,0.70
2010-07-12,0.63,0.67,0.62,0.64,498100,0.64
2010-07-09,0.63,0.66,0.62,0.64,352200,0.64
2010-07-08,0.62,0.64,0.61,0.62,911000,0.62
2010-07-07,0.65,0.68,0.61,0.61,1713100,0.61
2010-07-06,0.73,0.73,0.65,0.65,304300,0.65
2010-07-02,0.81,0.81,0.62,0.70,990000,0.70
2010-07-01,0.87,0.87,0.78,0.82,386300,0.82
2010-06-30,0.91,0.91,0.84,0.84,303600,0.84
2010-06-29,0.81,0.89,0.81,0.85,317200,0.85
2010-06-28,0.88,0.92,0.85,0.87,304300,0.87
2010-06-25,1.03,1.03,0.85,0.88,4219900,0.88
2010-06-24,0.94,1.06,0.89,1.02,716200,1.02
2010-06-23,0.99,1.04,0.96,0.96,268800,0.96
2010-06-22,1.00,1.07,0.98,0.99,320200,0.99
2010-06-21,1.05,1.08,0.96,1.00,442200,1.00
2010-06-18,1.15,1.15,1.02,1.04,602900,1.04
2010-06-17,1.15,1.18,1.13,1.14,397400,1.14
2010-06-16,1.15,1.20,1.13,1.14,401300,1.14
2010-06-15,1.25,1.26,1.15,1.17,490500,1.17
2010-06-14,1.26,1.26,1.15,1.18,408400,1.18
2010-06-11,1.00,1.23,0.97,1.16,612400,1.16
2010-06-10,1.00,1.13,1.00,1.11,371800,1.11
2010-06-09,1.02,1.08,0.96,0.98,499700,0.98
2010-06-08,1.20,1.23,1.01,1.02,474800,1.02
2010-06-07,1.17,1.23,1.09,1.11,227900,1.11
2010-06-04,1.29,1.30,1.17,1.17,315400,1.17
2010-06-03,1.31,1.31,1.27,1.29,260400,1.29
2010-06-02,1.30,1.33,1.30,1.31,196700,1.31
2010-06-01,1.37,1.38,1.30,1.30,196200,1.30
2010-05-28,1.40,1.42,1.34,1.34,384600,1.34
2010-05-27,1.35,1.40,1.31,1.36,282300,1.36
2010-05-26,1.48,1.50,1.25,1.28,730600,1.28
