Date,Open,High,Low,Close,Volume,Adj Close
2009-01-21,2960.07,3114.92,2917.13,3061.98,6467830000,3061.98
2009-01-20,3146.72,3148.48,2944.04,2959.40,6375230000,2959.40
2009-01-16,3170.90,3251.78,3060.95,3147.60,6786040000,3147.60
2009-01-15,3121.67,3228.33,2996.20,3169.77,7807350400,3169.77
2009-01-14,3275.29,3275.29,3082.75,3121.31,5407880000,3121.31
2009-01-13,3317.71,3383.13,3213.48,3279.26,5017470000,3279.26
2009-01-12,3460.81,3465.76,3280.08,3318.84,4725050000,3318.84
2009-01-09,3558.34,3585.25,3421.74,3460.71,4716500000,3460.71
2009-01-08,3566.54,3613.08,3479.06,3558.34,4991550000,3558.34
2009-01-07,3717.06,3717.06,3529.99,3567.26,4704940000,3567.26
2009-01-06,3629.53,3761.75,3626.49,3717.26,5392620000,3717.26
2009-01-05,3649.53,3688.29,3547.72,3626.54,5413910000,3626.54
2009-01-02,3537.20,3675.20,3510.71,3651.02,4048270000,3651.02
2008-12-31,3438.49,3578.13,3427.35,3537.15,4172940000,3537.15
2008-12-30,3334.82,3450.96,3310.49,3438.64,3627800000,3438.64
2008-12-29,3368.74,3382.87,3269.93,3334.67,3323430000,3334.67
2008-12-26,3338.43,3385.65,3303.48,3370.19,1880050000,3370.19
2008-12-24,3311.63,3354.21,3308.59,3339.00,1546550000,3339.00
2008-12-23,3337.45,3382.82,3254.15,3308.59,4051970000,3308.59
2008-12-22,3390.96,3421.74,3268.69,3336.63,4869850000,3336.63
2008-12-19,3383.95,3473.54,3342.25,3389.47,6705310000,3389.47
2008-12-18,3462.30,3533.60,3326.78,3381.68,5675000000,3381.68
2008-12-17,3372.97,3528.80,3305.29,3466.12,5907380000,3466.12
2008-12-16,3209.72,3402.87,3202.50,3380.70,6009780000,3380.70
2008-12-15,3245.49,3308.69,3148.84,3206.11,4982390000,3206.11
2008-12-12,3248.28,3315.49,3101.16,3245.44,5959590000,3245.44
2008-12-11,3439.62,3465.65,3218.69,3251.73,5513840000,3251.73
2008-12-10,3386.27,3508.54,3332.71,3444.16,5942130000,3444.16
2008-12-09,3586.20,3586.20,3311.94,3387.10,5693110000,3387.10
2008-12-08,3431.63,3650.04,3431.63,3589.63,6553600000,3589.63
2008-12-05,3365.86,3451.22,3160.54,3433.33,6165370000,3433.33
2008-12-04,3396.84,3510.40,3288.33,3368.33,5860390000,3368.33
2008-12-03,3311.11,3427.87,3195.54,3400.76,6221880000,3400.76
2008-12-02,3199.82,3341.27,3162.60,3315.86,6170100000,3315.86
2008-12-01,3512.20,3512.20,3186.26,3196.83,6052010000,3196.83
2008-11-28,3499.78,3512.20,3440.29,3512.20,2740860000,3512.20
2008-11-26,3387.10,3536.38,3291.83,3500.60,5793260000,3500.60
2008-11-25,3301.47,3454.47,3250.18,3393.44,6952700000,3393.44
2008-11-24,3128.06,3365.29,3090.12,3300.13,7879440000,3300.13
2008-11-21,2989.66,3159.25,2878.31,3122.75,9495900000,3122.75
2008-11-20,3137.09,3233.89,2907.54,2988.99,9093740000,2988.99
2008-11-19,3417.66,3442.20,3113.27,3141.52,6548600000,3141.52
2008-11-18,3426.48,3529.83,3316.16,3417.20,6069470000,3417.20
2008-11-17,3492.61,3556.59,3357.30,3427.35,4927490000,3427.35
2008-11-14,3689.58,3690.82,3461.53,3494.42,5881030000,3494.42
2008-11-13,3471.94,3705.51,3298.38,3692.57,7849120000,3692.57
2008-11-12,3637.11,3643.50,3436.94,3474.06,5764180000,3474.06
2008-11-11,3687.98,3743.09,3523.44,3634.01,4998340000,3634.01
2008-11-10,3668.45,3789.53,3633.29,3689.74,4572000000,3689.74
2008-11-07,3608.44,3727.06,3548.96,3666.02,4931640000,3666.02
2008-11-06,3800.15,3835.52,3577.77,3605.56,6102230000,3605.56
2008-11-05,4062.55,4084.60,3783.35,3800.62,5426640000,3800.62
2008-11-04,3916.27,4136.82,3916.27,4071.81,5531290000,4071.81
2008-11-03,3885.16,4017.79,3829.33,3917.63,4492280000,3917.63
2008-10-31,3749.43,3939.64,3703.39,3885.82,6394350000,3885.82
2008-10-30,3611.38,3816.08,3611.18,3727.01,6175830000,3727.01
2008-10-29,3574.83,3836.44,3481.69,3610.45,7077800000,3610.45
2008-10-28,3371.79,3587.98,3271.01,3574.16,7096950400,3574.16
2008-10-27,3442.61,3568.65,3321.32,3364.98,5558050000,3364.98
2008-10-24,3564.06,3578.34,3283.17,3448.44,6550050000,3448.44
2008-10-23,3600.40,3726.08,3391.12,3565.45,7184180000,3565.45
2008-10-22,3765.62,3804.48,3477.72,3601.74,6147980000,3601.74
2008-10-21,3791.39,3907.32,3755.82,3766.33,5121830000,3766.33
2008-10-20,3694.84,3892.27,3668.45,3853.81,5175640000,3853.81
2008-10-17,3786.60,3901.86,3609.37,3692.73,6581780000,3692.73
2008-10-16,3631.18,3842.22,3457.51,3792.83,7984500000,3792.83
2008-10-15,3986.66,3986.66,3594.63,3632.83,6542330000,3632.83
2008-10-14,4043.56,4251.00,3882.63,3989.65,8161990400,3989.65
2008-10-13,3749.17,4096.25,3749.17,4042.79,7263369600,4042.79
2008-10-10,3662.62,3891.96,3323.17,3744.74,11456230400,3744.74
2008-10-09,3902.17,4084.13,3619.37,3669.48,8285670400,3669.48
2008-10-08,3898.04,4076.97,3700.61,3902.32,8716329600,3902.32
2008-10-07,4097.43,4206.30,3873.82,3898.15,7069209600,3898.15
2008-10-06,4129.55,4189.96,3781.75,4101.61,7956020000,4101.61
2008-10-03,4179.40,4395.43,4092.48,4134.55,6716120000,4134.55
2008-10-02,4574.67,4574.67,4120.06,4177.18,6285640000,4177.18
2008-10-01,4608.48,4680.24,4453.53,4576.37,5782130000,4576.37
2008-09-30,4516.99,4702.92,4481.01,4616.01,6065000000,4616.01
2008-09-29,4747.56,4747.56,4398.94,4503.89,7305060000,4503.89
2008-09-26,4756.27,4803.60,4610.96,4750.86,5383610000,4750.86
2008-09-25,4714.93,4856.54,4682.35,4763.44,5877640000,4763.44
2008-09-24,4792.00,4845.50,4658.90,4715.34,4820360000,4715.34
2008-09-23,4839.27,4974.12,4744.73,4792.00,5185730000,4792.00
2008-09-22,5099.02,5099.02,4803.03,4839.63,5368130000,4839.63
2008-09-19,5047.16,5343.36,4989.17,5100.31,9387169600,5100.31
2008-09-18,4859.22,5096.55,4692.61,5039.53,10082689600,5039.53
2008-09-17,5034.38,5034.89,4743.54,4856.90,9431870400,4856.90
2008-09-16,4954.48,5081.85,4827.31,5030.82,9459830400,5030.82
2008-09-15,5063.35,5138.66,4870.04,4957.26,8279510400,4957.26
2008-09-12,5076.60,5121.44,4953.29,5074.07,6273260000,5074.07
2008-09-11,4904.89,5099.84,4830.50,5078.01,6869249600,5078.01
2008-09-10,4769.01,4982.31,4751.74,4911.18,6543440000,4911.18
2008-09-09,4945.25,4999.58,4741.07,4765.86,7380630400,4765.86
2008-09-08,4892.77,5076.96,4826.07,4946.44,7351340000,4946.44
2008-09-05,4913.50,4932.93,4747.10,4888.81,5017080000,4888.81
2008-09-04,5049.95,5063.45,4863.29,4915.61,5212500000,4915.61
2008-09-03,5074.89,5157.73,4994.02,5051.65,5056980000,5051.65
2008-09-02,5109.95,5294.70,5035.25,5076.85,4783560000,5076.85
2008-08-29,5139.43,5177.68,5060.77,5103.40,3288120000,5103.40
2008-08-28,5012.42,5164.13,5012.42,5140.05,3854280000,5140.05
2008-08-27,4956.02,5046.90,4907.93,5011.59,3499610000,5011.59
2008-08-26,4959.76,4993.96,4881.85,4958.50,3587570000,4958.50
2008-08-25,5054.84,5054.84,4904.68,4958.09,3420600000,4958.09
2008-08-22,4937.57,5091.75,4937.57,5056.90,3741070000,5056.90
2008-08-21,4940.41,4977.21,4825.14,4936.02,4032590000,4936.02
2008-08-20,4981.23,5048.86,4875.40,4943.86,4555030000,4943.86
2008-08-19,5094.95,5098.87,4949.43,4984.38,4159760000,4984.38
2008-08-18,5155.52,5205.93,5052.37,5094.95,3829290000,5094.95
2008-08-15,5150.00,5229.08,5107.94,5153.61,4041820000,5153.61
2008-08-14,5067.16,5200.47,5018.91,5149.07,4064000000,5149.07
2008-08-13,5075.98,5127.58,4913.19,5070.31,4787600000,5070.31
2008-08-12,5196.76,5224.08,5013.81,5076.75,4711290000,5076.75
2008-08-11,5215.47,5338.36,5099.38,5197.84,5067310000,5197.84
2008-08-08,5014.74,5263.51,5014.74,5216.50,4966810000,5216.50
2008-08-07,5115.67,5133.09,4965.82,5015.00,5319380000,5015.00
2008-08-06,5150.72,5179.90,5022.73,5118.81,4873420000,5118.81
2008-08-05,4912.16,5166.70,4912.16,5151.96,1219310000,5151.96
2008-08-04,4950.47,5016.80,4835.14,4910.20,4562280000,4910.20
2008-08-01,5071.60,5121.91,4882.57,4949.22,4684870000,4949.22
2008-07-31,5093.30,5173.66,5014.27,5071.91,5346050000,5071.91
2008-07-30,5101.55,5227.99,4970.35,5094.95,5631330000,5094.95
2008-07-29,4886.23,5123.14,4882.93,5103.25,5414240000,5103.25
2008-07-28,4957.06,5003.50,4854.22,4883.55,4282960000,4883.55
2008-07-25,4948.14,5054.02,4875.56,4959.07,4672560000,4959.07
2008-07-24,5137.01,5177.17,4902.31,4945.30,6127980000,4945.30
2008-07-23,5151.34,5254.13,5003.24,5138.61,6705830000,5138.61
2008-07-22,4950.35,5187.43,4898.50,5152.73,6180230000,5152.73
2008-07-21,5005.20,5042.01,4901.13,4951.90,4630640000,4951.90
2008-07-18,4976.13,5063.50,4903.03,5004.02,5653280000,5004.02
2008-07-17,4914.99,5033.40,4824.73,4976.13,7365209600,4976.13
2008-07-16,4657.61,4939.01,4657.61,4915.51,6738630400,4915.51
2008-07-15,4726.22,4762.10,4542.09,4657.56,7363640000,4657.56
2008-07-14,4780.40,4895.92,4686.43,4728.49,5434860000,4728.49
2008-07-11,4814.11,4877.10,4663.85,4776.74,6742200000,4776.74
2008-07-10,4804.47,4897.93,4746.79,4816.79,5840430000,4816.79
2008-07-09,4920.92,4975.15,4776.64,4804.57,5181000000,4804.57
2008-07-08,4684.67,4935.10,4678.69,4921.18,6034110000,4921.18
2008-07-07,4679.72,4819.52,4619.67,4685.45,5265420000,4685.45
2008-07-03,4678.79,4737.04,4638.43,4678.74,3247590000,4678.74
2008-07-02,4861.95,4906.28,4639.05,4653.13,5276090000,4653.13
2008-07-01,4946.13,4946.13,4723.49,4862.05,5846290000,4862.05
2008-06-30,4909.12,5020.36,4838.65,4948.03,5032330000,4948.03
2008-06-27,4895.20,4970.20,4823.80,4909.12,6208260000,4909.12
2008-06-26,5047.16,5047.94,4875.81,4892.83,5231280000,4892.83
2008-06-25,5001.70,5131.91,4982.42,5047.94,4825640000,5047.94
2008-06-24,5093.45,5114.59,4940.77,4998.35,4705050000,4998.35
2008-06-23,5194.02,5242.63,5070.62,5093.45,4186370000,5093.45
2008-06-20,5291.14,5291.14,5139.49,5194.02,5324900000,5194.02
2008-06-19,5130.72,5323.10,5104.69,5292.74,4811670000,5292.74
2008-06-18,5103.25,5192.32,5008.04,5120.36,4573570000,5120.36
2008-06-17,5160.00,5238.10,5068.30,5103.61,3801960000,5103.61
