Date,Open,High,Low,Close,Volume,Adj Close
2009-01-21,362.78,368.92,356.11,366.26,6467830000,366.26
2009-01-20,369.62,374.64,361.21,362.14,6375230000,362.14
2009-01-16,362.29,372.91,362.29,369.79,6786040000,369.79
2009-01-15,359.59,363.19,352.83,361.92,7807350400,361.92
2009-01-14,363.12,363.12,349.42,359.50,5407880000,359.50
2009-01-13,370.82,370.94,359.64,363.23,5017470000,363.23
2009-01-12,370.89,376.12,367.88,370.94,4725050000,370.94
2009-01-09,373.62,377.88,367.24,370.79,4716500000,370.79
2009-01-08,372.32,375.56,367.76,373.51,4991550000,373.51
2009-01-07,379.24,379.24,369.27,372.31,4704940000,372.31
2009-01-06,382.10,389.27,375.85,379.53,5392620000,379.53
2009-01-05,379.57,385.87,374.70,382.00,5413910000,382.00
2009-01-02,370.69,381.01,368.46,378.82,4048270000,378.82
2008-12-31,363.90,372.64,362.64,370.76,4172940000,370.76
2008-12-30,358.59,365.21,357.11,363.83,3627800000,363.83
2008-12-29,358.82,360.43,352.81,358.58,3323430000,358.58
2008-12-26,358.10,362.95,356.93,359.43,1880050000,359.43
2008-12-24,355.44,358.73,355.24,358.04,1546550000,358.04
2008-12-23,362.73,365.51,353.21,355.42,4051970000,355.42
2008-12-22,364.28,370.01,356.95,362.64,4869850000,362.64
2008-12-19,365.22,375.33,362.37,364.23,6705310000,364.23
2008-12-18,362.56,373.44,358.62,365.46,5675000000,365.46
2008-12-17,371.64,371.64,359.44,362.03,5907380000,362.03
2008-12-16,360.00,373.81,359.05,372.35,6009780000,372.35
2008-12-15,365.80,368.59,355.12,359.83,4982390000,359.83
2008-12-12,361.99,367.06,352.71,365.65,5959590000,365.65
2008-12-11,365.77,374.26,359.74,363.33,5513840000,363.33
2008-12-10,358.39,370.02,357.48,365.78,5942130000,365.78
2008-12-09,364.99,367.80,355.67,358.48,5693110000,358.48
2008-12-08,361.58,373.48,357.73,364.86,6553600000,364.86
2008-12-05,352.76,363.56,338.37,361.44,6165370000,361.44
2008-12-04,371.00,373.18,347.12,353.00,5860390000,353.00
2008-12-03,363.83,373.32,355.49,371.80,6221880000,371.80
2008-12-02,358.22,369.35,351.74,364.60,6170100000,364.60
2008-12-01,381.83,381.83,357.44,358.02,6052010000,358.02
2008-11-28,375.12,381.05,374.05,382.24,2740860000,382.24
2008-11-26,371.77,378.92,361.42,376.72,5793260000,376.72
2008-11-25,370.84,383.23,364.64,373.07,6952700000,373.07
2008-11-24,367.23,379.73,359.46,370.40,7879440000,370.40
2008-11-21,335.75,367.91,332.97,366.34,9495900000,366.34
2008-11-20,353.43,362.05,331.16,335.73,9093740000,335.73
2008-11-19,366.04,375.12,353.16,353.82,6548600000,353.82
2008-11-18,365.30,373.13,353.81,366.00,6069470000,366.00
2008-11-17,365.48,378.26,357.56,365.33,4927490000,365.33
2008-11-14,379.46,385.56,358.85,366.35,5881030000,366.35
2008-11-13,353.69,380.44,346.99,379.71,7849120000,379.71
2008-11-12,362.46,362.46,348.87,353.66,5764180000,353.66
2008-11-11,363.01,370.94,351.33,363.99,4998340000,363.99
2008-11-10,376.47,383.40,356.38,363.79,4572000000,363.79
2008-11-07,357.96,377.42,357.96,375.77,4931640000,375.77
2008-11-06,373.86,377.18,351.92,358.30,6102230000,358.30
2008-11-05,388.37,390.23,371.08,374.19,5426640000,374.19
2008-11-04,379.14,397.27,378.73,389.92,5531290000,389.92
2008-11-03,378.29,384.63,370.31,378.87,4492280000,378.87
2008-10-31,383.74,387.75,373.74,378.17,6394350000,378.17
2008-10-30,368.21,390.34,368.21,384.62,6175830000,384.62
2008-10-29,378.59,385.17,363.55,366.89,7077800000,366.89
2008-10-28,341.58,379.55,338.65,378.69,7096950400,378.69
2008-10-27,352.21,358.63,338.01,340.94,5558050000,340.94
2008-10-24,364.05,364.05,337.41,353.70,6550050000,353.70
2008-10-23,348.72,374.14,339.73,365.68,7184180000,365.68
2008-10-22,370.46,370.46,336.08,348.10,6147980000,348.10
2008-10-21,380.15,385.22,369.61,372.62,5121830000,372.62
2008-10-20,353.68,385.17,351.23,384.19,5175640000,384.19
2008-10-17,350.35,373.61,337.81,354.60,6581780000,354.60
2008-10-16,337.69,353.36,323.28,350.61,7984500000,350.61
2008-10-15,368.28,368.28,335.33,337.65,6542330000,337.65
2008-10-14,374.18,393.69,351.08,368.79,8161990400,368.79
2008-10-13,325.93,372.75,325.93,370.58,7263369600,370.58
2008-10-10,343.26,343.31,293.52,324.57,11456230400,324.57
2008-10-09,367.41,372.63,342.26,344.31,8285670400,344.31
2008-10-08,376.24,384.80,359.17,367.59,8716329600,367.59
2008-10-07,389.40,399.52,374.74,376.69,7069209600,376.69
2008-10-06,409.25,412.03,375.29,389.07,7956020000,389.07
2008-10-03,415.69,428.56,408.09,411.71,6716120000,411.71
2008-10-02,429.21,431.15,411.24,415.52,6285640000,415.52
2008-10-01,428.45,433.33,417.81,429.31,5782130000,429.31
2008-09-30,423.87,433.32,418.74,428.45,6065000000,428.45
2008-09-29,445.02,445.02,415.92,423.63,7305060000,423.63
2008-09-26,448.33,449.09,437.66,445.11,5383610000,445.11
2008-09-25,436.46,452.72,436.46,449.01,5877640000,449.01
2008-09-24,435.56,439.18,435.56,436.34,4820360000,436.34
2008-09-23,441.23,447.94,433.79,435.54,5185730000,435.54
2008-09-22,451.68,454.23,439.25,441.27,5368130000,441.27
2008-09-19,439.31,465.23,439.31,451.66,9387169600,451.66
2008-09-18,423.83,446.01,420.79,438.91,10082689600,438.91
2008-09-17,446.97,446.97,422.72,423.67,9431870400,423.67
2008-09-16,445.18,451.80,426.07,447.50,9459830400,447.50
2008-09-15,458.80,458.80,441.48,445.34,8279510400,445.34
2008-09-12,453.26,461.84,449.41,459.11,6273260000,459.11
2008-09-11,447.73,454.27,438.72,453.31,6869249600,453.31
2008-09-10,444.40,452.49,441.52,447.73,6543440000,447.73
2008-09-09,460.54,463.56,443.14,444.21,7380630400,444.21
2008-09-08,449.62,464.79,449.62,460.68,7351340000,460.68
2008-09-05,457.04,457.07,443.17,448.53,5017080000,448.53
2008-09-04,463.06,465.96,454.47,457.11,5212500000,457.11
2008-09-03,471.09,472.42,459.51,463.30,5056980000,463.30
2008-09-02,477.70,483.35,469.37,471.08,4783560000,471.08
2008-08-29,486.03,487.06,476.70,477.52,3288120000,477.52
2008-08-28,483.38,488.27,480.98,486.14,3854280000,486.14
2008-08-27,479.88,485.46,479.13,483.23,3499610000,483.23
2008-08-26,475.22,482.23,473.47,480.31,3587570000,480.31
2008-08-25,479.75,481.13,471.96,475.17,3420600000,475.17
2008-08-22,479.07,483.15,476.76,479.99,3741070000,479.99
2008-08-21,474.14,481.71,470.37,479.05,4032590000,479.05
2008-08-20,470.41,475.66,467.31,474.21,4555030000,474.21
2008-08-19,469.00,473.36,465.53,470.53,4159760000,470.53
2008-08-18,467.28,472.99,465.96,469.04,3829290000,469.04
2008-08-15,464.90,470.01,462.31,467.27,4041820000,467.27
2008-08-14,469.86,469.86,461.16,464.87,4064000000,464.87
2008-08-13,464.71,472.42,461.84,469.90,4787600000,469.90
2008-08-12,474.80,474.84,462.46,465.48,4711290000,465.48
2008-08-11,470.42,479.38,464.05,475.05,5067310000,475.05
2008-08-08,464.36,474.80,459.97,471.18,4966810000,471.18
2008-08-07,466.51,475.24,458.10,464.35,5319380000,464.35
2008-08-06,468.29,474.51,462.88,466.55,4873420000,466.55
2008-08-05,462.25,472.41,462.25,468.59,1219310000,468.59
2008-08-04,469.86,475.66,460.07,462.54,4562280000,462.54
2008-08-01,484.81,489.31,469.24,469.53,4684870000,469.53
2008-07-31,488.20,492.03,481.58,484.88,5346050000,484.88
2008-07-30,481.28,490.93,479.28,488.58,5631330000,488.58
2008-07-29,478.53,483.04,475.52,481.27,5414240000,481.27
2008-07-28,479.13,485.38,474.15,478.66,4282960000,478.66
2008-07-25,483.27,486.89,477.61,479.30,4672560000,479.30
2008-07-24,485.55,489.11,475.33,482.98,6127980000,482.98
2008-07-23,497.30,498.89,480.89,485.76,6705830000,485.76
2008-07-22,499.13,506.14,494.85,498.22,6180230000,498.22
2008-07-21,493.32,501.75,490.25,499.06,4630640000,499.06
2008-07-18,489.51,500.48,484.98,493.40,5653280000,493.40
2008-07-17,497.25,497.38,483.04,489.44,7365209600,489.44
2008-07-16,507.86,510.46,493.82,497.40,6738630400,497.40
2008-07-15,511.46,515.53,503.34,508.08,7363640000,508.08
2008-07-14,518.03,523.50,510.01,511.92,5434860000,511.92
2008-07-11,520.84,524.81,511.33,517.87,6742200000,517.87
2008-07-10,518.01,523.26,514.26,520.95,5840430000,520.95
2008-07-09,513.34,522.74,510.65,518.03,5181000000,518.03
2008-07-08,511.24,519.25,504.79,513.45,6034110000,513.45
2008-07-07,515.39,521.74,506.11,511.23,5265420000,511.23
2008-07-03,521.36,522.48,513.95,514.51,3247590000,514.51
2008-07-02,522.26,528.37,517.69,518.52,5276090000,518.52
2008-07-01,520.40,525.67,512.29,522.27,5846290000,522.27
2008-06-30,506.92,524.15,505.76,520.85,5032330000,520.85
2008-06-27,510.66,515.23,504.59,506.99,6208260000,506.99
2008-06-26,524.22,524.22,509.62,510.53,5231280000,510.53
2008-06-25,522.43,529.37,519.62,524.82,4825640000,524.82
2008-06-24,523.71,526.91,519.22,522.20,4705050000,522.20
2008-06-23,518.94,528.61,518.94,523.66,4186370000,523.66
2008-06-20,527.27,529.23,517.66,518.85,5324900000,518.85
2008-06-19,521.83,529.43,519.43,526.86,4811670000,526.86
2008-06-18,524.08,527.59,518.74,521.88,4573570000,521.88
2008-06-17,523.30,528.77,521.76,524.18,3801960000,524.18
2008-06-16,523.94,525.00,514.70,523.30,3706940000,523.30
2008-06-13,515.50,525.64,515.30,524.05,4080420000,524.05
2008-06-12,515.30,519.08,512.37,515.44,4734240000,515.44
2008-06-11,519.58,521.86,513.01,515.11,4779980000,515.11
2008-06-10,518.60,521.74,510.86,519.55,4635070000,519.55
2008-06-09,511.45,520.72,511.35,518.65,4404570000,518.65
2008-06-06,524.31,525.14,510.34,511.36,4771660000,511.36
2008-06-05,518.38,525.32,514.69,524.36,4350790000,524.36
2008-06-04,512.89,521.32,511.11,518.65,4338640000,518.65
2008-06-03,516.11,521.14,510.25,513.32,4396380000,513.32
2008-06-02,521.65,521.65,512.15,515.88,3714320000,515.88
2008-05-30,522.23,526.89,517.81,521.65,3845630000,521.65
2008-05-29,518.97,526.03,516.34,522.48,3894440000,522.48
2008-05-28,517.52,521.91,514.45,519.18,3927240000,519.18
2008-05-27,514.56,520.32,513.22,517.57,3588860000,517.57
2008-05-23,524.51,525.08,513.42,514.61,3516380000,514.61
2008-05-22,523.17,528.72,518.96,524.62,3955960000,524.62
2008-05-21,524.12,532.02,520.43,523.30,4517990000,523.30
2008-05-20,521.94,529.03,519.84,524.07,3854320000,524.07
2008-05-19,515.97,524.29,515.20,521.88,3683970000,521.88
2008-05-16,512.88,517.67,510.10,515.81,3842590000,515.81
2008-05-15,513.75,515.56,508.00,512.94,3836480000,512.94
2008-05-14,510.26,517.35,507.98,513.96,3979370000,513.96
2008-05-13,513.05,516.88,507.07,510.26,4018590000,510.26
2008-05-12,507.82,511.48,505.51,511.44,3370630000,511.44
2008-05-09,508.54,511.19,501.63,508.79,3518620000,508.79
2008-05-08,506.67,511.99,503.40,508.88,3827550000,508.88
2008-05-07,514.62,516.85,505.39,506.67,4075860000,506.67
2008-05-06,516.18,517.97,507.83,514.95,3924100000,514.95
2008-05-05,522.81,522.81,513.19,516.30,3410090000,516.30
2008-05-02,516.98,527.13,516.98,523.27,3953030000,523.27
2008-05-01,510.21,519.00,508.79,516.84,4448780000,516.84
2008-04-30,510.76,518.85,507.07,510.52,4508890000,510.52
2008-04-29,513.26,516.28,508.51,510.79,3815320000,510.79
2008-04-28,515.39,519.16,511.51,513.42,3607000000,513.42
2008-04-25,513.05,519.11,511.85,515.48,3891150000,515.48
2008-04-24,516.43,519.57,509.04,512.96,4461660000,512.96
2008-04-23,511.62,518.09,510.13,516.35,4103610000,516.35
2008-04-22,513.86,514.82,507.94,511.89,3821900000,511.89
2008-04-21,515.90,516.94,509.08,513.98,3420570000,513.98
2008-04-18,514.58,521.69,512.00,515.95,4222380000,515.95
2008-04-17,514.29,519.25,511.29,514.13,3713880000,514.13
2008-04-16,504.52,515.48,502.66,514.32,4260370000,514.32
2008-04-15,500.44,506.63,499.58,504.37,3581230000,504.37
2008-04-14,500.11,503.50,496.26,500.44,3565020000,500.44
2008-04-11,498.65,503.68,494.84,500.14,3723790000,500.14
2008-04-10,500.77,504.05,494.54,498.74,3686150000,498.74
2008-04-09,500.10,505.05,497.23,500.73,3556670000,500.73
2008-04-08,498.37,502.47,495.20,500.12,3602500000,500.12
2008-04-07,498.33,502.55,494.64,498.42,3747780000,498.42
2008-04-04,495.28,505.65,494.46,498.29,3703100000,498.29
2008-04-03,497.05,499.33,492.41,495.17,3920100000,495.17
2008-04-02,493.18,501.29,491.42,497.08,4320440000,497.08
2008-04-01,480.08,494.54,480.08,493.18,4745120000,493.18
2008-03-31,473.37,480.89,471.27,479.00,4188990000,479.00
2008-03-28,478.08,484.14,472.14,473.43,3686980000,473.43
2008-03-27,475.81,473.93,476.08,477.97,4037930000,477.97
2008-03-26,474.92,480.43,471.69,476.26,4055670000,476.26
2008-03-25,476.24,480.96,472.95,475.01,4145120000,475.01
2008-03-24,477.74,482.42,471.80,476.18,4499000000,476.18
2008-03-20,475.42,480.27,465.54,477.72,6145220000,477.72
2008-03-19,486.83,493.96,475.05,475.32,1203830000,475.32
2008-03-18,478.46,488.98,477.16,486.81,5335630000,486.81
2008-03-17,477.50,483.68,467.10,478.24,5683010000,478.24
2008-03-14,482.17,485.58,469.88,477.75,5153780000,477.75
2008-03-13,482.07,484.67,473.81,482.00,5073360000,482.00
2008-03-12,488.99,494.04,481.64,482.16,4414280000,482.16
2008-03-11,475.41,490.27,475.41,488.73,5109080000,488.73
2008-03-10,478.83,480.91,470.92,474.83,4261240000,474.83
2008-03-07,480.57,481.87,471.95,478.86,4565410000,478.86
2008-03-06,491.33,492.16,479.89,480.61,4323460000,480.61
