Date,Open,High,Low,Close,Volume,Adj Close
2009-01-21,5291.70,5376.50,5248.90,5304.20,103839500,5304.20
2009-01-20,5413.30,5430.40,5314.00,5321.00,82597600,5321.00
2009-01-19,5496.70,5517.40,5318.70,5381.40,74106600,5381.40
2009-01-16,5497.40,5511.20,5429.30,5435.50,82118200,5435.50
2009-01-15,5416.10,5448.00,5330.10,5382.40,82430800,5382.40
2009-01-14,5584.00,5586.20,5329.40,5378.80,82618600,5378.80
2009-01-13,5568.40,5568.40,5452.00,5534.30,74759400,5534.30
2009-01-12,5657.10,5666.80,5588.20,5591.80,68473600,5591.80
2009-01-09,5753.50,5753.70,5648.00,5697.20,66495000,5697.20
2009-01-08,5697.50,5764.40,5679.10,5751.10,55762600,5751.10
2009-01-07,5778.00,5806.00,5731.70,5761.70,58311200,5761.70
2009-01-06,5778.80,5881.50,5731.30,5799.30,66998600,5799.30
2009-01-05,5734.10,5772.70,5696.40,5756.10,65574600,5756.10
2009-01-02,5528.70,5582.10,5513.90,5533.60,000,5533.60
2008-12-30,5528.70,5582.10,5513.90,5534.50,35259000,5534.50
2008-12-29,5416.60,5517.90,5394.00,5465.00,31583600,5465.00
2008-12-26,5399.60,5399.60,5399.60,5399.60,000,5399.60
2008-12-24,5399.60,5399.60,5399.60,5399.60,000,5399.60
2008-12-23,5449.90,5486.00,5399.00,5399.60,36670000,5399.60
2008-12-22,5424.10,5493.70,5402.40,5419.50,50586600,5419.50
2008-12-19,5448.90,5530.80,5389.80,5459.90,147137600,5459.90
2008-12-18,5595.30,5628.40,5484.00,5515.00,67017000,5515.00
2008-12-17,5638.10,5651.70,5489.90,5548.20,82138400,5548.20
2008-12-16,5524.30,5580.50,5479.30,5567.10,67081600,5567.10
2008-12-15,5676.30,5702.20,5493.30,5526.50,65813200,5526.50
2008-12-12,5534.70,5654.80,5492.60,5636.20,80455000,5636.20
2008-12-11,5712.40,5744.80,5629.10,5729.90,65774000,5729.90
2008-12-10,5813.00,5856.40,5711.10,5751.90,69626000,5751.90
2008-12-09,5769.60,5910.00,5733.10,5845.60,91100600,5845.60
2008-12-08,5787.00,5818.80,5701.40,5818.80,90347800,5818.80
2008-12-05,5573.50,5604.80,5455.90,5530.80,76814200,5530.80
2008-12-04,5562.00,5724.90,5526.10,5649.10,98853600,5649.10
2008-12-03,5510.20,5617.20,5414.90,5604.20,79299600,5604.20
2008-12-02,5471.30,5575.50,5403.70,5537.60,75873600,5537.60
2008-12-01,5786.90,5790.10,5514.80,5527.60,69060200,5527.60
2008-11-28,5656.50,5816.60,5613.50,5816.60,73361600,5816.60
2008-11-27,5521.00,5640.80,5513.60,5640.80,58980400,5640.80
2008-11-26,5433.60,5515.50,5326.40,5498.60,88040000,5498.60
2008-11-25,5393.70,5610.00,5389.90,5478.40,131373200,5478.40
2008-11-24,5236.60,5470.20,5192.60,5466.40,100589900,5466.40
2008-11-21,5361.50,5374.90,5034.40,5144.00,117776800,5144.00
2008-11-20,5426.50,5443.10,5172.80,5306.10,130585300,5306.10
2008-11-19,5703.60,5714.20,5476.20,5524.10,85279600,5524.10
2008-11-18,5662.80,5730.30,5547.00,5675.60,83101400,5675.60
2008-11-17,5805.40,5845.50,5615.40,5646.40,67689800,5646.40
2008-11-14,5879.00,5901.10,5786.90,5834.80,77579400,5834.80
2008-11-13,5646.10,5761.50,5645.80,5740.00,84067000,5740.00
2008-11-12,5958.00,5970.90,5668.10,5702.90,95515600,5702.90
2008-11-11,5979.40,6038.30,5831.00,5880.80,91403200,5880.80
2008-11-10,6166.50,6233.00,6083.60,6090.60,68351000,6090.60
2008-11-07,5966.00,6071.60,5928.30,6008.20,82846400,6008.20
2008-11-06,6027.50,6154.30,5882.50,5924.90,106554800,5924.90
2008-11-05,6339.70,6343.10,6167.50,6177.10,84817600,6177.10
2008-11-04,6256.90,6419.00,6229.90,6400.00,96475600,6400.00
2008-11-03,6227.40,6233.90,6103.80,6233.90,72380800,6233.90
2008-10-31,5838.40,6153.20,5792.10,6153.20,100393500,6153.20
2008-10-30,6012.10,6037.90,5720.20,5842.30,110536900,5842.30
2008-10-29,5781.80,5895.20,5660.20,5880.60,128420300,5880.60
2008-10-28,5593.30,5680.40,5475.40,5538.50,105999200,5538.50
2008-10-27,5407.90,5614.50,5367.40,5500.90,106563400,5500.90
2008-10-24,5667.20,5733.20,5410.90,5675.10,160589800,5675.10
2008-10-23,5965.10,6027.10,5763.50,5893.70,163074400,5893.70
2008-10-22,6040.90,6102.10,5901.40,5925.50,101086300,5925.50
2008-10-21,6337.20,6352.60,6139.00,6185.50,105842900,6185.50
2008-10-20,6184.40,6216.50,6087.40,6216.50,101910800,6216.50
2008-10-17,5928.90,6099.60,5805.90,6099.60,158442300,6099.60
2008-10-16,5663.10,5959.20,5613.10,5718.50,179478000,5718.50
2008-10-15,6244.60,6254.40,5893.80,5911.20,126036400,5911.20
2008-10-14,6163.80,6408.80,6130.40,6260.20,164630900,6260.20
2008-10-13,5709.50,5956.30,5566.00,5956.30,178771100,5956.30
2008-10-10,5404.90,5555.60,5265.90,5347.20,218528400,5347.20
2008-10-09,6179.40,6191.30,5764.40,5798.80,137404600,5798.80
2008-10-08,6198.50,6371.20,6004.60,6073.50,194095500,6073.50
2008-10-07,6584.10,6605.90,6390.00,6427.80,138997400,6427.80
2008-10-06,6623.60,6671.30,6375.70,6458.70,131110300,6458.70
2008-10-03,6754.30,6912.00,6629.90,6879.80,117004300,6879.80
2008-10-02,6752.10,6825.10,6715.30,6730.90,123634400,6730.90
2008-10-01,6744.10,6763.60,6654.00,6727.60,94353400,6727.60
2008-09-30,6343.70,6676.60,6343.40,6654.90,129884300,6654.90
